created_at,text,view_count
Sat Jul 06 15:03:06 +0000 2024,RT @Teslaconomics: People laugh at me  till they find out what my Cybertruck can really do https://t.co/uL6IhuJ1ya,86
Sat Jul 06 15:02:18 +0000 2024,RT @cb_doge: Why Political Advertisers should choose 𝕏?  • ~250 million people use 𝕏 every day. ~600 million people visit the global town s…,60
Sat Jul 06 00:20:02 +0000 2024,Flight 5 in 4 weeks,32659692
Sat Jul 06 00:10:08 +0000 2024,Wise words from @AriEmanuel,9898910
Sat Jul 06 00:08:19 +0000 2024,Good one sigh,38747544
Sat Jul 06 00:04:41 +0000 2024,When is there not one – just one – even *attempted* prosecution of that Epstein (Bill Gates &amp; Reid Hoffman come to mind) client list.   Either FBI does their duty or the case for an entire departmental reset or abolishment is strong.,41375575
Fri Jul 05 23:53:05 +0000 2024,Those who oppose this are traitors.  All Caps: TRAITORS  What is the penalty for traitors again?,34229505
Fri Jul 05 15:44:07 +0000 2024,The legacy media are just propaganda puppets.  𝕏 has the truth.,29794930
Fri Jul 05 05:03:26 +0000 2024,🚀🚀🇺🇸🇺🇸 AMERICA  🇺🇸🇺🇸🚀🚀  https://t.co/ZQ00BL8YMC,65775610
Fri Jul 05 04:02:34 +0000 2024,RT @ValueAnalyst1: Peter Thiel on Elon Musk 🔊  “You know  when Elon was building both Tesla and SpaceX in the 2000s  people thought he was…,95
Fri Jul 05 03:44:35 +0000 2024,Tesla Gigafactory Supercomputer Cluster https://t.co/aYIZ3pQ0nV,47678454
Thu Jul 04 17:38:45 +0000 2024,RT @SpaceX: The fourth flight of Starship brought us closer to a rapidly reusable future https://t.co/maSky0Rsjy,113
Thu Jul 04 17:37:57 +0000 2024,🇺🇸🇺🇸 Happy Independence Day! 🇺🇸🇺🇸,85077497
Thu Jul 04 16:50:08 +0000 2024,RT @cybertruck: Happy 4th 🇺🇸🇺🇸  📸 @JustonBrazda https://t.co/SbKeuiSXqR,121
Thu Jul 04 16:06:38 +0000 2024,RT @johnkrausphotos: https://t.co/x8433aXvQt,68
Thu Jul 04 04:58:45 +0000 2024,Yeah!!,75224105
Thu Jul 04 04:52:29 +0000 2024,RT @teslaownersSV: “I’m nauseatingly pro America. I would have come here from any country. The United States are where great things are pos…,79
Thu Jul 04 04:28:35 +0000 2024,RT @tesla_na: The most American-made cars are S3XY  To honor those who have served our country  members of the US military + their spouses…,66
Thu Jul 04 04:28:12 +0000 2024,RT @teslaownersSV: Tesla Semi hauling a huge load with 2 Model Xs  Model S and Model 3. It’s great to see Teslas vertical integration. http…,87
Wed Jul 03 14:16:21 +0000 2024,RT @sara_spangelo: With over 100 Direct to Cell satellites now launched  and 100s more planned to be launched this year  excited to provide…,168
Wed Jul 03 14:15:59 +0000 2024,More satellites capable of providing Internet directly to mobile phones,37673690
Wed Jul 03 04:20:10 +0000 2024,Unmodified video,43941477
Wed Jul 03 04:14:43 +0000 2024,RT @EvaLovesDesign: Fashion on X https://t.co/3B188NhQdw,74
Wed Jul 03 04:14:23 +0000 2024,RT @xai: how june started &amp; how it’s going   come 🧑‍🍳 with us at xAI &amp; 𝕏 if you like building &amp; running the biggest computers in the world!…,56
Tue Jul 02 18:27:30 +0000 2024,RT @MAstronomers: I can just keep watching it without getting tired: https://t.co/vKQsY5YYTo,162
Tue Jul 02 16:39:26 +0000 2024,"RT @cb_doge: ""It's only me doing these posts on 𝕏 and I would recommend for leaders of the world to just literally post your own stuff""   h…",120
Tue Jul 02 16:18:49 +0000 2024,True  although AI &amp; robotics will save us (probably),11663140
Tue Jul 02 15:59:23 +0000 2024,The New York Times is attacking *your* freedom of speech! https://t.co/TRIa13TWdY,51775406
Tue Jul 02 15:17:10 +0000 2024,What you sometimes see in the night sky from the Cape in Florida and similar (just no Dragon) from southern California,6862134
Tue Jul 02 15:02:19 +0000 2024,Yeah  it’s awesome. Once you use Tesla Autopilot/FSD for commuting  you won’t use any other car.,79853035
Tue Jul 02 14:59:38 +0000 2024,Dan’s right about this,16859349
Tue Jul 02 14:53:22 +0000 2024,RT @Tesla: In Q2  we produced approximately 411k vehicles &amp; delivered approximately 444k vehicles.  Our Q2 Earnings Call will be streamed l…,96
Tue Jul 02 14:51:13 +0000 2024,Join xAI to build maximum truth-seeking AI with the best sense of humor!,9682971
Tue Jul 02 03:58:12 +0000 2024,😂,42073150
Mon Jul 01 18:20:17 +0000 2024,RT @Teslaconomics: Amidst the stream of cars winding down Lombard St  only 1 vehicle stands out from the rest: my Cybertruck. This is the r…,188
Mon Jul 01 16:35:37 +0000 2024,…,14172062
Mon Jul 01 14:10:36 +0000 2024,Running ads is easy and getting easier,7483565
Mon Jul 01 13:04:09 +0000 2024,Good idea,24545367
Mon Jul 01 13:03:22 +0000 2024,When will politicians  or at least the intern who runs their account  learn that lying on this platform doesn’t work anymore? https://t.co/wP7H4AJFwG,67857838
Mon Jul 01 12:46:52 +0000 2024,That almost the entire media repeated the same lie with the exact same words is disturbing.   The legacy news is not merely fake  but also unoriginally fake!  If you want to know the truth  it’s on 𝕏.,54691641
Mon Jul 01 06:19:52 +0000 2024,RT @teslaownersSV: “We’re beginning to see the dawn of a new era of space exploration. But one that is driven by companies as much  if not…,211
Mon Jul 01 05:56:23 +0000 2024,Great Herzog moment,23077601
Mon Jul 01 05:02:15 +0000 2024,Other trucks look badass  Cybertruck actually is  https://t.co/5DufWfoOAA,143530450
Mon Jul 01 04:30:12 +0000 2024,https://t.co/JHy0bCU6Rb,31358869
Mon Jul 01 04:19:05 +0000 2024,RT @cb_doge: 𝕏 users can use this filter to search for posts from verified accounts. (iOS) https://t.co/2fUETGBaz9,81
Mon Jul 01 03:07:10 +0000 2024,Some audiobook recommendations:  The Story of Civilization by Durant Iliad (Penguin Edition) The Road to Serfdom by Hayek American Caesar by Manchester Masters of Doom by Kushner The Wages of Destruction by Tooze The Storm of Steel by Junger The Guns of August by Tuchman The,30054854
Mon Jul 01 03:19:15 +0000 2024,Gonna be a *lot* of robots in the future,18497994
Mon Jul 01 01:47:09 +0000 2024,Another Grok banger 😂  https://t.co/xgGrLj5Y2q,10103464
Mon Jul 01 01:45:39 +0000 2024,💪😂  https://t.co/GQvLpUDSP1,8436518
Mon Jul 01 01:32:20 +0000 2024,Would be lovely to see more accounts on 𝕏 simply posting beautiful content,136244243
Sun Jun 30 20:52:20 +0000 2024,Yay!,25804964
Sun Jun 30 20:48:47 +0000 2024,The law is violating the law,22009809
Sun Jun 30 20:47:45 +0000 2024,RT @SawyerMerritt: This @SpaceX launch two days ago was beautiful. Looks like Mars. https://t.co/kYFlByxEaG,106
Sun Jun 30 20:42:58 +0000 2024,Accurate,17635302
Sun Jun 30 20:28:52 +0000 2024,https://t.co/iqlQmpeTym,33664508
Sun Jun 30 19:10:23 +0000 2024,True  first time I’ve seen Republicans &amp; Democrats agree on something in a long time 😂,35970698
Sun Jun 30 19:08:01 +0000 2024,𝕏 is the group chat for Earth,70570949
Sun Jun 30 18:39:08 +0000 2024,Let’s make (good) sci-fi real!,26232064
Sun Jun 30 18:32:07 +0000 2024,RT @farzyness: Neuralink's First Patient Leaves Us Speechless.  Noland Arbaugh @ModdedQuad  @neuralink's first brain chip patient  joins us…,78
Sun Jun 30 15:15:42 +0000 2024,Our greatest dream is to send a spaceship to Uranus,82388014
Sun Jun 30 15:10:22 +0000 2024,Thoughtful explanation of the Supreme Court’s recent decision regarding ambiguous regulatory authority,12334988
Sun Jun 30 09:20:52 +0000 2024,Subscriptions in support of your freedom to speak are much appreciated,17675810
Sun Jun 30 09:17:48 +0000 2024,Makes a good point about democracy,45626178
Sun Jun 30 00:54:32 +0000 2024,Absolutely,10999046
Sun Jun 30 00:02:41 +0000 2024,RT @johnkrausphotos: https://t.co/rSdJ5IxpRk,71
Sat Jun 29 14:54:03 +0000 2024,…,17402434
Sat Jun 29 07:50:54 +0000 2024,Testing to see if this post reaches people in the greater Austin area,1458667
Sat Jun 29 07:49:27 +0000 2024,RT @sidgrao: First look at our next-gen X Ads Analytics.  We’ve designed it to be snappy and super intuitive so businesses can view every k…,74
Sat Jun 29 06:46:44 +0000 2024,𝕏 US usage reaches all-time high! 🚀  76B total user-seconds in the US  beating the previous record by 5%.,45817403
Sat Jun 29 05:01:16 +0000 2024,RT @X: you’re on a rock floating through space,55
Sat Jun 29 04:58:53 +0000 2024,Unmodified picture of the Falcon launch https://t.co/n9LHYLEiGb,56461769
Sat Jun 29 01:01:39 +0000 2024,RT @AdrianDittmann: The CNN broadcast viewership vs. X:  CNN: 47.9 million views        X: 242 million views  X got five times more views o…,72
Fri Jun 28 20:21:14 +0000 2024,Record usage of 𝕏 during a Presidential debate!,29328770
Fri Jun 28 19:48:43 +0000 2024,True,33121251
Fri Jun 28 19:47:27 +0000 2024,RT @balajis: CHEVRON DOMINANCE  Technology is about to accelerate. Because Chevron deference is over. And regulators can't just make up law…,101
Fri Jun 28 19:16:14 +0000 2024,https://t.co/MHOWICamV6,9098250
Fri Jun 28 18:53:50 +0000 2024,The CEO of Ford loves electric vehicles!,9363389
Fri Jun 28 18:52:30 +0000 2024,Good thread,22052074
Fri Jun 28 18:44:30 +0000 2024,Have to say that @CNN did a good job managing the debate.   Questions were reasonable and non-partisan. No favoritism was shown to either candidate.   This is what the public wants from the media.,49569080
Fri Jun 28 18:03:22 +0000 2024,Cool,19858401
Fri Jun 28 17:10:18 +0000 2024,RT @EndWokeness: The New York Times  one week apart: https://t.co/5y42E5dxj5,69
Fri Jun 28 14:57:57 +0000 2024,lol,137860384
Fri Jun 28 14:43:36 +0000 2024,Lmao,32168227
Fri Jun 28 14:32:06 +0000 2024,Truth is the first casualty in the war that is politics,29972399
Fri Jun 28 05:50:10 +0000 2024,RT @Tesla: Send directions to your Tesla right from your phone https://t.co/90wuKkxMb9,74
Fri Jun 28 05:17:23 +0000 2024,30 years ago https://t.co/y8MDRQYY32,115674596
Fri Jun 28 05:06:56 +0000 2024,Tonight was a clear victory … for memes,93776133
Fri Jun 28 04:38:01 +0000 2024,RT @spacesudoer: Haters will say this is edited! @elonmusk  https://t.co/g5SqrU2yFu,52
Thu Jun 27 22:30:29 +0000 2024,Worth watching,21745265
Thu Jun 27 21:50:49 +0000 2024,It’s basically just Karate Kid at scale 😂,17380447
Thu Jun 27 21:48:03 +0000 2024,Starlink now available in Madagascar!,27334610
Thu Jun 27 17:33:45 +0000 2024,…,49400951
Thu Jun 27 11:26:18 +0000 2024,RT @SpaceX: Falcon 9 lands on the Just Read the Instructions droneship  completing the first 22nd launch and landing of a booster! https://…,127
Thu Jun 27 11:11:54 +0000 2024,RT @SpaceX: Watch Falcon 9 launch 23 @Starlink satellites to orbit https://t.co/Dz0ykSOXxA,88
Thu Jun 27 10:52:14 +0000 2024,RT @OwenSparks_: 𝕏 users can now show jobs they are hiring for directly on their profile  it is not limited to organizations! https://t.co/…,111
Thu Jun 27 07:19:07 +0000 2024,Welcome to the future,42334341
Thu Jun 27 07:16:07 +0000 2024,RT @froggyups: How Generational Trauma Works?  Generational trauma gets carried through generations until someone is brave enough to face a…,69
Thu Jun 27 06:52:54 +0000 2024,RT @patrickc: This morning  Nature published two papers on bridge editing  the new genome engineering technology from @ArcInstitute: https:…,67
Thu Jun 27 04:44:45 +0000 2024,🤣🤣,118367072
Thu Jun 27 05:29:59 +0000 2024,Over 5 million pounds of thrust from 27 engines,6783312
Wed Jun 26 23:34:31 +0000 2024,RT @Tesla_Megapack: Plus Power and @SRPconnect are adding more Megapacks to the Arizona grid - Sierra Estrella will be the largest standalo…,124
Wed Jun 26 23:29:29 +0000 2024,RT @NASA: We have selected @SpaceX to develop and deliver the U.S. Deorbit Vehicle and prepare for a safe and responsible deorbit of the @S…,80
Wed Jun 26 23:29:15 +0000 2024,RT @MartinViecha: Just took a delivery of a Model 3 Performance. It's absurdly fast  so much better than my previous Model 3 with so many c…,79
Wed Jun 26 17:07:07 +0000 2024,Hawk … https://t.co/obql1nkpcd,74959147
Wed Jun 26 03:23:44 +0000 2024,https://t.co/MnvArHwJRm,121881460
Wed Jun 26 03:20:32 +0000 2024,RT @johnkrausphotos: Liftoff! 🇺🇸🚀🚀🚀 Falcon Heavy launches the GOES-U satellite  furthering NASA and NOAA’s on-orbit weather forecasting cap…,82
Wed Jun 26 03:02:56 +0000 2024,Falcon Heavy side boosters land in Cape Canaveral  Florida  https://t.co/2rV2g5ff6B,53007702
Wed Jun 26 03:00:28 +0000 2024,RT @SpaceX: @NOAA Orbiting Earth at ~35 700 km  GOES-U will assist weather forecasters and climate researchers with real-time high-resoluti…,73
Wed Jun 26 03:00:17 +0000 2024,New weather satellite delivered!  https://t.co/ZdH4V9EeL7,29009834
Wed Jun 26 02:59:28 +0000 2024,RT @SpaceX: Falcon Heavy’s 10th mission launches @NOAA’s GOES-U weather satellite to a geostationary orbit https://t.co/6c8hcF1gSC,57
Tue Jun 25 17:56:10 +0000 2024,🤷‍♂️,34548619
Tue Jun 25 17:11:54 +0000 2024,“Sue Origin”,41723567
